[ 1/2015 ]	9.31943e+007	0	1.16565e+007	4.65853e+007	4.66091e+007
[ 2/2015 ]	1.24403e+008	4.07289e+007	9.51997e+006	6.21879e+007	6.22154e+007
[ 3/2015 ]	1.61471e+008	4.98577e+007	1.27899e+007	8.07219e+007	8.07492e+007
[ 4/2015 ]	2.60345e+008	1.15684e+008	1.68098e+007	1.30163e+008	1.30182e+008
[ 5/2015 ]	3.51051e+008	1.19365e+008	2.8659e+007	1.75518e+008	1.75533e+008
[ 6/2015 ]	4.33379e+008	1.2225e+008	3.99228e+007	2.16679e+008	2.167e+008
[ 7/2015 ]	4.98615e+008	1.15393e+008	5.01561e+007	2.49297e+008	2.49319e+008
[ 8/2015 ]	4.94483e+008	5.44602e+007	5.85929e+007	2.47231e+008	2.47252e+008
[ 9/2015 ]	4.87598e+008	5.13986e+007	5.82832e+007	2.43794e+008	2.43804e+008
[ 10/2015 ]	4.29973e+008	0	5.76255e+007	2.14981e+008	2.14991e+008
[ 11/2015 ]	3.7937e+008	0	5.06024e+007	1.89684e+008	1.89686e+008
[ 12/2015 ]	3.35783e+008	0	4.35874e+007	1.67894e+008	1.67889e+008
[ 1/2016 ]	2.98463e+008	0	3.73201e+007	1.4923e+008	1.49232e+008
[ 2/2016 ]	3.98352e+008	1.30389e+008	3.04995e+007	1.99172e+008	1.9918e+008
[ 3/2016 ]	5.17033e+008	1.59638e+008	4.09573e+007	2.58515e+008	2.58518e+008
[ 4/2016 ]	8.33581e+008	3.70371e+008	5.38224e+007	4.16779e+008	4.16802e+008
[ 5/2016 ]	1.12396e+009	3.82147e+008	9.17732e+007	5.61958e+008	5.61997e+008
[ 6/2016 ]	1.38759e+009	3.91443e+008	1.27804e+008	6.93773e+008	6.93822e+008
[ 7/2016 ]	1.59651e+009	3.69479e+008	1.60559e+008	7.9824e+008	7.98274e+008
[ 8/2016 ]	1.58332e+009	1.74361e+008	1.87553e+008	7.91637e+008	7.91686e+008
[ 9/2016 ]	1.56129e+009	1.64584e+008	1.86622e+008	7.80623e+008	7.80662e+008
[ 10/2016 ]	1.37672e+009	0	1.84564e+008	6.88337e+008	6.88384e+008
[ 11/2016 ]	1.2147e+009	0	1.62025e+008	6.07329e+008	6.07367e+008
[ 12/2016 ]	1.07513e+009	0	1.39564e+008	5.37553e+008	5.37579e+008
[ 1/2017 ]	9.55659e+008	0	1.19472e+008	4.77816e+008	4.77844e+008
[ 2/2017 ]	1.27547e+009	4.17483e+008	9.7672e+007	6.37711e+008	6.3776e+008
[ 3/2017 ]	1.65546e+009	5.11112e+008	1.31124e+008	8.27727e+008	8.27732e+008
[ 4/2017 ]	2.66901e+009	1.18586e+009	1.72316e+008	1.33449e+009	1.33451e+009
[ 5/2017 ]	3.59874e+009	1.22359e+009	2.93848e+008	1.79939e+009	1.79936e+009
[ 6/2017 ]	4.44286e+009	1.25339e+009	4.09276e+008	2.22145e+009	2.22141e+009
[ 7/2017 ]	5.1118e+009	1.18308e+009	5.14139e+008	2.55587e+009	2.55593e+009
[ 8/2017 ]	5.06955e+009	5.58316e+008	6.00568e+008	2.53478e+009	2.53477e+009
[ 9/2017 ]	4.99896e+009	5.26974e+008	5.97556e+008	2.4995e+009	2.49946e+009
[ 10/2017 ]	4.4081e+009	0	5.90866e+008	2.20408e+009	2.20402e+009
[ 11/2017 ]	3.8893e+009	0	5.188e+008	1.94468e+009	1.94461e+009
[ 12/2017 ]	3.44237e+009	0	4.46929e+008	1.7212e+009	1.72117e+009
[ 1/2018 ]	3.05985e+009	0	3.82515e+008	1.52994e+009	1.52992e+009
[ 2/2018 ]	4.08377e+009	1.3366e+009	3.12688e+008	2.04187e+009	2.0419e+009
[ 3/2018 ]	5.3004e+009	1.63645e+009	4.1982e+008	2.6502e+009	2.65021e+009
[ 4/2018 ]	8.54556e+009	3.79688e+009	5.51732e+008	4.2728e+009	4.27275e+009
